,Sample_id,PC1,PC2,PC3
0,Sample1,-0.03380007488034465,0.0011759489686897597,-0.00252947714104751
1,Sample1,-0.02194173553712461,-0.0007346080276676057,-0.001118255629773865
2,Sample1,0.18754410580944736,0.022136587135981448,-0.00719025222225092
3,Sample1,-0.03887811779652218,-0.00444693311450376,-0.002398532473708132
4,Sample2,-0.11013204701743227,0.0039038054864480305,0.007477819329073265
5,Sample2,-0.06842842384205608,-0.0017822432666058563,0.004504988633442139
6,Sample2,-0.0722692810614552,0.0010416485120186005,0.00757704036187024
7,Sample2,-0.09778344487644565,0.002755265663098969,0.004729213346626768
8,Sample3,0.016220732952512494,-0.003924473097002373,-0.0012658678986889789
9,Sample3,0.11087550941812238,0.02421340935440013,0.006168542864477992
10,Sample3,0.1650532730402015,0.002882216721064188,0.013216916224637524
11,Sample3,0.05219889117476711,0.0053269014530425785,0.0006167618766646472
12,Sample4,0.05083621960111006,-0.0032137091365759623,-0.016466402960269997
13,Sample4,-0.06975343349182879,0.000565155774260755,-0.002731745750012531
14,Sample4,0.101516173829472,3.580264358001492e-05,-0.020224319938823808
15,Sample4,-0.04949597580335654,-0.0012633375819819733,-0.003710357825568083
16,Sample5,-0.09569396306593385,0.003940796776803957,0.00374119902735146
17,Sample5,-0.08261438502403186,0.005755290869732945,0.001190430863224672
18,Sample5,-0.07837683832961866,0.004525657117251391,0.0025404863761929507
19,Sample5,-0.07661016314304087,0.0013336325536449152,0.0011439533340865853
20,Sample6,-0.019926836985739257,-0.003217016012262592,-0.007556588710397353
21,Sample6,-0.0625709434003207,1.555146119597265e-05,-0.0010087352755092894
22,Sample6,0.017401466138692808,-0.010773967197067363,-0.01166742197396756
23,Sample6,-0.09492334645407777,0.0026520637197570314,0.00434276809889627
24,Sample7,0.08530519334502071,-0.012660001171535464,-0.004115240106971448
25,Sample7,0.20491128479627826,-0.01668642315939868,0.020657260881140126
26,Sample7,0.07914000810539176,-0.008445747182221493,0.0023368985333488343
27,Sample7,0.002196152498312402,-0.015111275264147846,0.001738918155955651
