,PC1,PC2,PC3,regions
0,-8.965372113914649,-0.16442873885115078,-0.08706556310503459,Region 1
1,-8.031384183910005,-0.12202355636181021,-0.11110521926406082,Region 1
2,-4.34037233429646,-0.5934759327639343,-0.25090913533891035,Region 1
3,9.990522074240173,-2.0998668424549427,-0.5576063835088392,Region 1
4,-4.933677519541575,0.15202550351205715,0.17740032478391135,Region 1
5,-1.7908558106470789,-0.6189056102336808,-0.2712412969107206,Region 1
6,-0.9072022648786908,-0.9372679913192626,0.15839395884061058,Region 1
7,-0.6194090078614191,-0.9131667579023521,0.045053306212182745,Region 1
8,4.597554409839891,-0.7544890438167702,1.759127767988329,Region 1
9,4.174208816602255,0.066623536160554,-0.3845944504198668,Region 2
10,-13.099335647556588,1.6864634235042768,0.0017996169692754405,Region 2
11,1.5784445815435733,1.2116133105297526,-0.10574091785482749,Region 2
12,5.841830104547733,0.7536766056933645,-0.21910768843464104,Region 2
13,13.96706621464991,1.0707499898285509,-0.13660660178813464,Region 2
14,10.466375363864755,1.3458229508887167,-0.01669216644030292,Region 2
15,1.7434142820140321,1.347446182958331,-0.0963413150274928,Region 2
16,8.991050900160555,0.2774831487028916,-0.09313084938231397,Region 2
17,12.41033047187289,2.41011546736473,0.20344122269711912,Region 2
18,-13.107663027376551,0.30996701704089824,-0.0204731233608643,Region 3
19,-5.965880670379036,-0.46661740330819784,-0.3628917792545877,Region 3
20,-12.823942485717634,0.4370938583134833,0.06170008834927505,Region 3
21,0.0523723285572551,-1.0920900556784285,-0.12045765475095285,Region 3
22,-4.5925447628794105,-0.22280340790486525,0.37392008248281183,Region 3
23,-5.027501891821039,-0.3128833573518134,-0.24457238360671996,Region 3
24,16.003636427977707,-1.8009341849447897,-0.09548820574974155,Region 3
25,-2.3093493621476067,-0.6958033248192075,0.6040347605255934,Region 3
26,-3.3023148929429524,-0.2743247867863867,-0.21084639465109384,Region 3
